full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
wkwkwkw sicepat emg rada ngaco mas pernah kejadian juga soalnya wkwkw toko di bekasi akunya di jakarta paketnya nyasar ke palembang wkwkkw,wkwkwkw emg rada ngaco mas pernah kejadian juga soalnya wkwkw toko di bekasi akunya di jakarta paketnya nyasar ke palembang wkwkkw,"wkwkwkw emg raada ngaco mas also happened because the problem is the shop in bekasi, the package is straying to palembang wkwkkw",wkwkwkw emg raada ngaco mas also happened problem shop bekasi package straying palembang wkwkkw,"['wkwkwkw', 'emg', 'raada', 'ngaco', 'mas', 'also', 'happened', 'problem', 'shop', 'bekasi', 'package', 'straying', 'palembang', 'wkwkkw']","['wkwkwkw', 'emg', 'raada', 'ngaco', 'ma', 'also', 'happen', 'problem', 'shop', 'bekasi', 'package', 'stray', 'palembang', 'wkwkkw']"
diem saja jadinya daripada kesetanan,diem saja jadinya daripada kesetanan,just shut up instead of loyalty,shut instead loyalty,"['shut', 'instead', 'loyalty']","['shut', 'instead', 'loyalty']"
Udah WA balasannya begitu terus admin Template Saya kudu tanya kemana lagi itu barang statusnya dari    tanggal mei mau di pick up terus sedangkan sellernya bilang sudah di pick up kurir,Udah WA balasannya begitu terus admin Template Saya kudu tanya kemana lagi itu barang statusnya dari tanggal mei mau di pick up terus sedangkan sellernya bilang sudah di pick up kurir,"already, the reply is so that the admin of the template i must ask where else is the status item from may want to be picked up while the seller says it has been picked up courier",already reply admin template must ask else status item may want picked seller says picked courier,"['already', 'reply', 'admin', 'template', 'must', 'ask', 'else', 'status', 'item', 'may', 'want', 'picked', 'seller', 'says', 'picked', 'courier']","['already', 'reply', 'admin', 'template', 'must', 'ask', 'else', 'status', 'item', 'may', 'want', 'picked', 'seller', 'say', 'picked', 'courier']"
Kurir SiCepat Tidak Mau Pickup dan Malah Memutarbalikkan Fakta cc,Kurir Tidak Mau Pickup dan Malah Memutarbalikkan Fakta cc,courier does not want to pickup and instead distort the facts of cc,courier want pickup instead distort facts cc,"['courier', 'want', 'pickup', 'instead', 'distort', 'facts', 'cc']","['courier', 'want', 'pickup', 'instead', 'distort', 'fact', 'cc']"
tergantung jasa kirim tidak sih nder jampt spx nang saya aman saja tetapi nek sicepat mek cepat jeneng e tok ngirim e lelet puoll,tergantung jasa kirim tidak sih nder jampt nang saya aman saja tetapi nek mek cepat jeneng e tok ngirim e lelet puoll,"depending on the shipping service, it's not like that, but i'm safe, but it's really fast",depending shipping service like that im safe really fast,"['depending', 'shipping', 'service', 'like', 'that', 'im', 'safe', 'really', 'fast']","['depend', 'shipping', 'service', 'like', 'that', 'im', 'safe', 'really', 'fast']"
Habisan sicepat tidak sesuai namanya,Habisan tidak sesuai namanya,out not according to its name,according name,"['according', 'name']","['accord', 'name']"
halo saya kirim barang buat di pick up melalui shopee saya cek barang saya sudah di pick up tetapi nyatanya barangnya masih di saya dan belum diambil kurir tidak resi tolong ditindaklanjuti saya sudah chat lewat wa jawabannya ngawur tolong di balas disini,halo saya kirim barang buat di pick up melalui shopee saya cek barang saya sudah di pick up tetapi nyatanya barangnya masih di saya dan belum diambil kurir tidak resi tolong ditindaklanjuti saya sudah chat lewat wa jawabannya ngawur tolong di balas disini,"hello, i send items to pick up through shopee, i check my items have been picked up but in fact the item is still in me and not yet taken the courier is not a receipt, please follow up on me, i have chat",hello send items pick shopee check items picked fact item still yet taken courier receipt please follow me chat,"['hello', 'send', 'items', 'pick', 'shopee', 'check', 'items', 'picked', 'fact', 'item', 'still', 'yet', 'taken', 'courier', 'receipt', 'please', 'follow', 'me', 'chat']","['hello', 'send', 'item', 'pick', 'shopee', 'check', 'item', 'picked', 'fact', 'item', 'still', 'yet', 'take', 'courier', 'receipt', 'please', 'follow', 'me', 'chat']"
jawabannya bot semua sudah saya hubungi melalui wa halo saya kirim barang buat di pick up melalui shopee saya cek barang saya sudah di pick up tetapi nyatanya barangnya masih di saya dan belum diambil kurir tidak resi tolong ditindaklanjuti,jawabannya bot semua sudah saya hubungi melalui wa halo saya kirim barang buat di pick up melalui shopee saya cek barang saya sudah di pick up tetapi nyatanya barangnya masih di saya dan belum diambil kurir tidak resi tolong ditindaklanjuti,"the answer is that i have contacted bot through wa hello, i sent the item to pick up through the shopee i checked my item had been picked up but in fact the item was still in me and the courier had not been taken, please follow up",answer contacted bot wa hello sent item pick shopee checked item picked fact item still courier taken please follow,"['answer', 'contacted', 'bot', 'wa', 'hello', 'sent', 'item', 'pick', 'shopee', 'checked', 'item', 'picked', 'fact', 'item', 'still', 'courier', 'taken', 'please', 'follow']","['answer', 'contact', 'bot', 'wa', 'hello', 'sent', 'item', 'pick', 'shopee', 'checked', 'item', 'picked', 'fact', 'item', 'still', 'courier', 'take', 'please', 'follow']"
ini juga nih sudah langganan dah begini mah tolong lah bakal stucknya paling,ini juga nih sudah langganan dah begini mah tolong lah bakal stucknya paling,"this is also a subscription like this, please stuck the most",also subscription like this please stuck,"['also', 'subscription', 'like', 'this', 'please', 'stuck']","['also', 'subscription', 'like', 'this', 'please', 'stuck']"
ANJIRRR KANGEN BANGET SAMA LU UDAH LAMA GA MAIN BARENG Artinya Otsu yaaa minat temenan sama kurir Sicepat,ANJIRRR KANGEN BANGET SAMA LU UDAH LAMA GA MAIN BARENG Artinya Otsu yaaa minat temenan sama kurir,"anjirr really missed you, i haven't played together for a long time, it means otsu yaa's interest in friends with the courier",anjirr really missed you played together long time means otsu yaas interest friends courier,"['anjirr', 'really', 'missed', 'you', 'played', 'together', 'long', 'time', 'means', 'otsu', 'yaas', 'interest', 'friends', 'courier']","['anjirr', 'really', 'miss', 'you', 'played', 'together', 'long', 'time', 'mean', 'otsu', 'yaas', 'interest', 'friend', 'courier']"
tolong cek dm penting,tolong cek dm penting,please check the important dm,please check important dm,"['please', 'check', 'important', 'dm']","['please', 'check', 'important', 'dm']"
Jnt sih sama sicepat,sih sama,the same,,[],[]
Saya sudah DM bisa diinformasikan nomor WA supaya saya bisa kirim via WA juga,Saya sudah DM bisa diinformasikan nomor WA supaya saya bisa kirim via WA juga,i can already be informed by wa numbers so that i can send via wa too,already informed wa numbers send via wa,"['already', 'informed', 'wa', 'numbers', 'send', 'via', 'wa']","['already', 'inform', 'wa', 'number', 'send', 'via', 'wa']"
bagaimana sih biar ngirim nya lewat JNE saja pls pakai sicepat sama jampt tuh susah and lambat bgtt aaaa pdhl ada paket total yang saya kirim barengan tpi cmn jampt sm sicepat yang belum ke proses,bagaimana sih biar ngirim nya lewat saja pls pakai sama jampt tuh susah and lambat bgtt aaaa pdhl ada paket total yang saya kirim barengan tpi cmn jampt sm yang belum ke proses,"how the heck to send it through pls use the same as jampt and it's hard and it's really slow, there is a total package that i sent together but cmn jampt sm who hasn't been to the process",heck send pls use jampt hard really slow total package sent together cmn jampt sm process,"['heck', 'send', 'pls', 'use', 'jampt', 'hard', 'really', 'slow', 'total', 'package', 'sent', 'together', 'cmn', 'jampt', 'sm', 'process']","['heck', 'send', 'pls', 'use', 'jampt', 'hard', 'really', 'slow', 'total', 'package', 'sent', 'together', 'cmn', 'jampt', 'sm', 'process']"
boleh cek DM kak Mau tanya paket,boleh cek DM kak Mau tanya paket,can check dm sis want to ask the package,check dm sis want ask package,"['check', 'dm', 'sis', 'want', 'ask', 'package']","['check', 'dm', 'si', 'want', 'ask', 'package']"
Jadi saya harus menunggu sampai kapan kak,Jadi saya harus menunggu sampai kapan kak,so i have to wait until when sis,wait sis,"['wait', 'sis']","['wait', 'si']"
harus di blacklist ke semua ekspedisi Hapus saja sicepat Kalian benar Lepas tangan Kalo orang barang yang kalian rusak Tukang maling dan bongkar barang orang Bikin rugi banyak orang Mengecewakan berat kalian,harus di blacklist ke semua ekspedisi Hapus saja Kalian benar Lepas tangan Kalo orang barang yang kalian rusak Tukang maling dan bongkar barang orang Bikin rugi banyak orang Mengecewakan berat kalian,"must be blacklist to all expeditions, just delete you really off your hands if the people you are damaged",must blacklist expeditions delete really hands people damaged,"['must', 'blacklist', 'expeditions', 'delete', 'really', 'hands', 'people', 'damaged']","['must', 'blacklist', 'expedition', 'delete', 'really', 'hand', 'people', 'damage']"
KALIAN TUKANG MALING Barang dagang saya kalian bongkar paksa dan bikin rusak segel barang baru saya Bajingan laknatullah kalian,KALIAN TUKANG MALING Barang dagang saya kalian bongkar paksa dan bikin rusak segel barang baru saya Bajingan laknatullah kalian,"you are a thief of my merchandise, you forcibly dismantled and made my new seal of new goods bastard.",thief merchandise forcibly dismantled made new seal new goods bastard,"['thief', 'merchandise', 'forcibly', 'dismantled', 'made', 'new', 'seal', 'new', 'goods', 'bastard']","['thief', 'merchandise', 'forcibly', 'dismantle', 'make', 'new', 'seal', 'new', 'good', 'bastard']"
punyaku juga gini akhirnya saya aktifin sicepat,punyaku juga gini akhirnya saya aktifin,i also finally activate me,also finally activate,"['also', 'finally', 'activate']","['also', 'finally', 'activate']"
bagaimana ini kak Kalian buka barang dan rusak barang saya Bgst laknat kalian Mana tanggung jawab kalian woy malah lepas tangan semua,bagaimana ini kak Kalian buka barang dan rusak barang saya Bgst laknat kalian Mana tanggung jawab kalian woy malah lepas tangan semua,"how is this, sis, you open the item and broken my goods, how come you have a responsibility, where your responsibilities woy are all off.",this sis open item broken goods come responsibility responsibilities woy off,"['this', 'sis', 'open', 'item', 'broken', 'goods', 'come', 'responsibility', 'responsibilities', 'woy', 'off']","['this', 'si', 'open', 'item', 'broken', 'good', 'come', 'responsibility', 'responsibility', 'woy', 'off']"
Belanja nya memang Ndak mahal Ndak ada barang elektronik Tp kalau elektronik bagaimana admin Ayo lah admin dulu sicepat jadi yang paling oke loh kenapa kok malah jadi turun perform nya Perbaiki lah admin,Belanja nya memang Ndak mahal Ndak ada barang elektronik Tp kalau elektronik bagaimana admin Ayo lah admin dulu jadi yang paling oke loh kenapa kok malah jadi turun perform nya Perbaiki lah admin,"shopping is indeed not expensive, there is no electronic goods, but if electronic, how do the admin come on, the admin used",shopping indeed expensive electronic goods electronic admin come on admin used,"['shopping', 'indeed', 'expensive', 'electronic', 'goods', 'electronic', 'admin', 'come', 'on', 'admin', 'used']","['shopping', 'indeed', 'expensive', 'electronic', 'good', 'electronic', 'admin', 'come', 'on', 'admin', 'use']"
disamain sama sicepat,disamain sama,the same as the same,,[],[]
Sudah di email saya sudah kirimkan juga screnshot komunikasi dengan pembeli kalau sudah terima dan bayar sejak Mei tetapi disuruh menunggu terus,Sudah di email saya sudah kirimkan juga screnshot komunikasi dengan pembeli kalau sudah terima dan bayar sejak Mei tetapi disuruh menunggu terus,"i have already sent the email in the email, the communication screnhot with the buyer if i have received and pay since may but told to continue to wait",already sent email email communication screnhot buyer received pay since may told continue wait,"['already', 'sent', 'email', 'email', 'communication', 'screnhot', 'buyer', 'received', 'pay', 'since', 'may', 'told', 'continue', 'wait']","['already', 'sent', 'email', 'email', 'communication', 'screnhot', 'buyer', 'receive', 'pay', 'since', 'may', 'told', 'continue', 'wait']"
Bot gini maksudnya,Bot gini maksudnya,bot like this,bot like,"['bot', 'like']","['bot', 'like']"
Saya tidak butuh maaf Saya butuh paket saya Email tidak dibalas chat wa dibalas bot,Saya tidak butuh maaf Saya butuh paket saya Email tidak dibalas chat wa dibalas bot,i don't need sorry i need a package. my email is not replied to chat wa,need sorry need package email replied chat wa,"['need', 'sorry', 'need', 'package', 'email', 'replied', 'chat', 'wa']","['need', 'sorry', 'need', 'package', 'email', 'reply', 'chat', 'wa']"
Pantesan nanti pulang ngantor mau ku anterin saja deh Makasih yaa,Pantesan nanti pulang ngantor mau ku anterin saja deh Makasih yaa,"i wonder i will go home later, i want to wait, thank you",wonder go home later want wait thank,"['wonder', 'go', 'home', 'later', 'want', 'wait', 'thank']","['wonder', 'go', 'home', 'later', 'want', 'wait', 'thank']"
sicepat nih namanya ja cepat pdhl lambatttt lalu,nih namanya ja cepat pdhl lambatttt lalu,here the name is fast pdhl slow lastt,name fast pdhl slow lastt,"['name', 'fast', 'pdhl', 'slow', 'lastt']","['name', 'fast', 'pdhl', 'slow', 'lastt']"
kalau bisa sicepat sicepat ajaa ka,kalau bisa ajaa ka,"if possible, ka",possible ka,"['possible', 'ka']","['possible', 'ka']"
Sicepat lagi trouble apa bagaimana sii dari kmrn paketny belum di pickup,lagi trouble apa bagaimana sii dari kmrn paketny belum di pickup,trouble song what is the contents of yesterday the package has not been pickedup,trouble song contents yesterday package pickedup,"['trouble', 'song', 'contents', 'yesterday', 'package', 'pickedup']","['trouble', 'song', 'content', 'yesterday', 'package', 'pickedup']"
Okii pilih sicepat ya kak ekspedisinya biar sekalian bsk diambil,Okii pilih ya kak ekspedisinya biar sekalian bsk diambil,"ohii, choose, sis, the expedition so that you can take it all",ohii choose sis expedition take,"['ohii', 'choose', 'sis', 'expedition', 'take']","['ohii', 'choose', 'si', 'expedition', 'take']"
Sicepat,,"the json object must be str, bytes or bytearray, not nonetype",json object must str bytes bytearray nonetype,"['json', 'object', 'must', 'str', 'bytes', 'bytearray', 'nonetype']","['json', 'object', 'must', 'str', 'byte', 'bytearray', 'nonetype']"
saya mau refund barang dan sudah ngajuin request dari hari Sabtu sampai sekarang belum di pick up barangnya Kesel banget jawabnya kaya template terus begitu,saya mau refund barang dan sudah ngajuin request dari hari Sabtu sampai sekarang belum di pick up barangnya Kesel banget jawabnya kaya template terus begitu,i want to refund the goods and have been requesting from saturday until now it has not been picked up the goods are really answered like the template and continue to be like that,want refund goods requesting saturday picked goods really answered like template continue like,"['want', 'refund', 'goods', 'requesting', 'saturday', 'picked', 'goods', 'really', 'answered', 'like', 'template', 'continue', 'like']","['want', 'refund', 'good', 'request', 'saturday', 'picked', 'good', 'really', 'answer', 'like', 'template', 'continue', 'like']"
admin kl pick up paket lama sangat tuh kurirnya mampir ke monas dl apa bagaimana sih,admin kl pick up paket lama sangat tuh kurirnya mampir ke monas dl apa bagaimana sih,admin kl pick up the old package is very courier to stop by monas in what the heck,admin kl pick old package courier stop monas heck,"['admin', 'kl', 'pick', 'old', 'package', 'courier', 'stop', 'monas', 'heck']","['admin', 'kl', 'pick', 'old', 'package', 'courier', 'stop', 'mona', 'heck']"
UDAH KESEL BANGET GUA KASIH STIKER GANTA AJA PELAYANANNYA JELEK,UDAH KESEL BANGET GUA KASIH STIKER GANTA AJA PELAYANANNYA JELEK,"already really upset, i just give a sticker to be bad service",already really upset give sticker bad service,"['already', 'really', 'upset', 'give', 'sticker', 'bad', 'service']","['already', 'really', 'upset', 'give', 'sticker', 'bad', 'service']"
kalau reguler mke sicepat kalau hemat make jnt,kalau reguler mke kalau hemat make,"if it's regular, if you save it",regular save,"['regular', 'save']","['regular', 'save']"
Duit segini bagi saya itu sangat besar ada saja ya perusahaan yang tutup mata atas kendala yang saya hadapi komplain ke Tokopedia dan sicepat katanya sudah tidak bisa karena sudah melewati batas estimasi laporan Jadi kedua perusahaan ini lepas tangan,Duit segini bagi saya itu sangat besar ada saja ya perusahaan yang tutup mata atas kendala yang saya hadapi komplain ke Tokopedia dan katanya sudah tidak bisa karena sudah melewati batas estimasi laporan Jadi kedua perusahaan ini lepas tangan,"this money for me is very large, there are companies that close my eyes to the obstacles that i face complaints to tokopedia and they say they can't because they have crossed the estimated report limit so these two companies are off hand",money large companies close eyes obstacles face complaints tokopedia say cant crossed estimated report limit two companies hand,"['money', 'large', 'companies', 'close', 'eyes', 'obstacles', 'face', 'complaints', 'tokopedia', 'say', 'cant', 'crossed', 'estimated', 'report', 'limit', 'two', 'companies', 'hand']","['money', 'large', 'company', 'close', 'eye', 'obstacle', 'face', 'complaint', 'tokopedia', 'say', 'cant', 'cross', 'estimate', 'report', 'limit', 'two', 'company', 'hand']"
spx paling cepet sekarang menurut gw dan sicepat menjadi si lambat sekarang,paling cepet sekarang menurut gw dan menjadi si lambat sekarang,the most fast now according to me and become the slow now,fast according become slow,"['fast', 'according', 'become', 'slow']","['fast', 'accord', 'become', 'slow']"
Ih malas sangat menunggunya,Ih malas sangat menunggunya,ih lazy to wait for him,ih lazy wait,"['ih', 'lazy', 'wait']","['ih', 'lazy', 'wait']"
Tempatku SICEPAT nganternya bisa sampe malem pernah juga malah disuruh nyamper malah NINJA biasa saja sih SPX kadang salah rumahh nganternya mapah ke tetangga ID tidak pernah make Aku seringnya JNT tidak ribet sudah kenal juga terus nelpon dulu pokoknya enak lah,Tempatku nganternya bisa sampe malem pernah juga malah disuruh nyamper malah NINJA biasa saja sih kadang salah rumahh nganternya mapah ke tetangga ID tidak pernah make Aku seringnya tidak ribet sudah kenal juga terus nelpon dulu pokoknya enak lah,"my place to hang out can be used to night, even told to nyamper even ninja ordinary, sometimes the wrong house is wrong to the neighbor id never uses me often not complicated already knowing it also continues to call first, just delicious",place hang used night even told nyamper even ninja ordinary sometimes wrong house wrong neighbor id never uses often complicated already knowing also continues call first delicious,"['place', 'hang', 'used', 'night', 'even', 'told', 'nyamper', 'even', 'ninja', 'ordinary', 'sometimes', 'wrong', 'house', 'wrong', 'neighbor', 'id', 'never', 'uses', 'often', 'complicated', 'already', 'knowing', 'also', 'continues', 'call', 'first', 'delicious']","['place', 'hang', 'use', 'night', 'even', 'told', 'nyamper', 'even', 'ninja', 'ordinary', 'sometimes', 'wrong', 'house', 'wrong', 'neighbor', 'id', 'never', 'us', 'often', 'complicate', 'already', 'know', 'also', 'continue', 'call', 'first', 'delicious']"
waktu itu sih lapor ke sellernya terus dikirim yang baru,waktu itu sih lapor ke sellernya terus dikirim yang baru,at that time the report to the seller continued to be sent a new one,time report seller continued sent new one,"['time', 'report', 'seller', 'continued', 'sent', 'new', 'one']","['time', 'report', 'seller', 'continued', 'sent', 'new', 'one']"
Apaan sudah di wa tidak ada respon,Apaan sudah di wa tidak ada respon,what has been in wa there is no response,wa response,"['wa', 'response']","['wa', 'response']"
Bisa refund tidak sih kl begitu,Bisa refund tidak sih kl begitu,"can be refunded, if that's the case",refunded thats case,"['refunded', 'thats', 'case']","['refund', 'thats', 'case']"
Guys mau tanya dong ada yang suka pakai ekspedisi sicepat tidak untuk pengiriman Itu emg kalau paketnya sudah didrop tuh statusnya emg lama ya berubahnya Apa bagaimana,Guys mau tanya dong ada yang suka pakai ekspedisi tidak untuk pengiriman Itu emg kalau paketnya sudah didrop tuh statusnya emg lama ya berubahnya Apa bagaimana,"guys want to ask, someone likes to use expeditions not for shipping, if the package has been dropped, the status is long, it changes",guys want ask someone likes use expeditions shipping package dropped status long changes,"['guys', 'want', 'ask', 'someone', 'likes', 'use', 'expeditions', 'shipping', 'package', 'dropped', 'status', 'long', 'changes']","['guy', 'want', 'ask', 'someone', 'like', 'use', 'expedition', 'shipping', 'package', 'drop', 'status', 'long', 'change']"
akhirnya pasti paket dinyatakan hilang,akhirnya pasti paket dinyatakan hilang,finally the package is declared missing,finally package declared missing,"['finally', 'package', 'declared', 'missing']","['finally', 'package', 'declare', 'miss']"
Loh saya bisa kok Jne ama sicepat sih biasanya Yang susah sekarang jne Biasa saya suka suruh tarok di teras saja sih kalau lagi di luar Kalo jne tidak mau Harus ada orang rumah terima Untung loketnya tidak jauh dari rumah Searah kalau pigi,Loh saya bisa kok ama sih biasanya Yang susah sekarang Biasa saya suka suruh tarok di teras saja sih kalau lagi di luar Kalo tidak mau Harus ada orang rumah terima Untung loketnya tidak jauh dari rumah Searah kalau pigi,"i can, i can usually be difficult, now i usually like to tarok on the terrace, if i don't want to be outside, if you don't want to have a house, the luck is not far from the house if pigi",can usually difficult usually like tarok terrace want outside want house luck far house pigi,"['can', 'usually', 'difficult', 'usually', 'like', 'tarok', 'terrace', 'want', 'outside', 'want', 'house', 'luck', 'far', 'house', 'pigi']","['can', 'usually', 'difficult', 'usually', 'like', 'tarok', 'terrace', 'want', 'outside', 'want', 'house', 'luck', 'far', 'house', 'pigi']"
kita coba sicepat semoga tidak mengecewakan,kita coba semoga tidak mengecewakan,"we try it, hopefully it doesn't disappoint",try it hopefully disappoint,"['try', 'it', 'hopefully', 'disappoint']","['try', 'it', 'hopefully', 'disappoint']"
Sicepat paling cepet jnt tepat waktu nganternya maksudnya tidak dianter pas asharmagrib,paling cepet tepat waktu nganternya maksudnya tidak dianter pas asharmagrib,"the fastest time on time, it means that it is not delivered when asr magrib",fastest time time means delivered asr magrib,"['fastest', 'time', 'time', 'means', 'delivered', 'asr', 'magrib']","['fast', 'time', 'time', 'mean', 'deliver', 'asr', 'magrib']"
Seringnya spx express tetapi suka sicepat juga karena kurirnya sopan banget wkwk,Seringnya express tetapi suka juga karena kurirnya sopan banget wkwk,frequent express but like it too because the courier is very polite,frequent express like courier polite,"['frequent', 'express', 'like', 'courier', 'polite']","['frequent', 'express', 'like', 'courier', 'polite']"
kaget ini buyer pesen pakai sicepat gua ngedrop paket jauh banget,kaget ini buyer pesen pakai gua ngedrop paket jauh banget,surprised this buyer ordered using me dropped a very far package,surprised buyer ordered using dropped far package,"['surprised', 'buyer', 'ordered', 'using', 'dropped', 'far', 'package']","['surprised', 'buyer', 'order', 'use', 'drop', 'far', 'package']"
Hadeh sampe sekarang tidak ada kejelasan ya Emg sih paketnya tidak seberapa tetapi tanggung jawabnya bagaimana,Hadeh sampe sekarang tidak ada kejelasan ya Emg sih paketnya tidak seberapa tetapi tanggung jawabnya bagaimana,"hadeh until now there is no clarity, yes, the package is not much but how the responsibility is",hadeh clarity yes package much responsibility,"['hadeh', 'clarity', 'yes', 'package', 'much', 'responsibility']","['hadeh', 'clarity', 'yes', 'package', 'much', 'responsibility']"
Spx sama sicepat si lebih aman,sama si lebih aman,the same as safer,safer,['safer'],['safer']
sicepat sekarang lelet sangat ya kalah cepet sm jnt,sekarang lelet sangat ya kalah cepet sm,"now it's very slow, so you are losing fast",slow losing fast,"['slow', 'losing', 'fast']","['slow', 'lose', 'fast']"
gimanaa deh status pengiriman paket stuck terus sudah komplain by wa tetapi balesnya cuma template tidak solutif banget,gimanaa deh status pengiriman paket stuck terus sudah komplain by wa tetapi balesnya cuma template tidak solutif banget,what about the status of the delivery of stuck packages and continue to complain by wa but the reply is only a template not very solutive,status delivery stuck packages continue complain wa reply template solutive,"['status', 'delivery', 'stuck', 'packages', 'continue', 'complain', 'wa', 'reply', 'template', 'solutive']","['status', 'delivery', 'stuck', 'package', 'continue', 'complain', 'wa', 'reply', 'template', 'solutive']"
admin paket masih belum diantar kendalanya apa yaa,admin paket masih belum diantar kendalanya apa yaa,admin package is still not delivered what the obstacles are,admin package still delivered obstacles,"['admin', 'package', 'still', 'delivered', 'obstacles']","['admin', 'package', 'still', 'deliver', 'obstacle']"
Aku pakai SPX Standard kapok pakai yang urutan nomer itu Dulu beli blender yang dateng sudah pecah komplain ke aplikasi malah di hubungi terus sama oknum pihak SiCepat maksa mau kunjungan kerumah ceunah,Aku pakai Standard kapok pakai yang urutan nomer itu Dulu beli blender yang dateng sudah pecah komplain ke aplikasi malah di hubungi terus sama oknum pihak maksa mau kunjungan kerumah ceunah,i used standard kapok using the order of the number first bought a blender that came already broke the complaint to the application instead contacted the same person for the person to visit the house,used standard kapok using order number first bought blender came already broke complaint application instead contacted person person visit house,"['used', 'standard', 'kapok', 'using', 'order', 'number', 'first', 'bought', 'blender', 'came', 'already', 'broke', 'complaint', 'application', 'instead', 'contacted', 'person', 'person', 'visit', 'house']","['use', 'standard', 'kapok', 'use', 'order', 'number', 'first', 'bought', 'blender', 'come', 'already', 'broke', 'complaint', 'application', 'instead', 'contact', 'person', 'person', 'visit', 'house']"
sicepat si,si,si,si,['si'],['si']
paling tidak sih spx lelet sangat kurirnya top jnt tetapi karena dipilihan gaada jdi sicepat okelaaa,paling tidak sih lelet sangat kurirnya top tetapi karena dipilihan gaada jdi okelaaa,"at least it's very slow, the courier is top, but because it's chosen, it's okay",least slow courier top chosen okay,"['least', 'slow', 'courier', 'top', 'chosen', 'okay']","['least', 'slow', 'courier', 'top', 'chosen', 'okay']"
Jnt sicepat shopee,shopee,shopee,shopee,['shopee'],['shopee']
temen maaf ya barangnya sudah saya pack semuaa ada beberapa yang belum karena bahan packing abis jadi nunggu packingnya dateng dulu tapii kurirnya tidak dateng buat pickup saya sudah chat sicepat juga dari kemarin minta kurir buat dateng,temen maaf ya barangnya sudah saya pack semuaa ada beberapa yang belum karena bahan packing abis jadi nunggu packingnya dateng dulu tapii kurirnya tidak dateng buat pickup saya sudah chat juga dari kemarin minta kurir buat dateng,friend sorry yes i have pack the goods all there are some who haven't because of the packing material after waiting for the packing to come first but the courier is not coming to pickup i have already chatted from yesterday asking for a courier to come,friend sorry yes pack goods packing material waiting packing come first courier coming pickup already chatted yesterday asking courier come,"['friend', 'sorry', 'yes', 'pack', 'goods', 'packing', 'material', 'waiting', 'packing', 'come', 'first', 'courier', 'coming', 'pickup', 'already', 'chatted', 'yesterday', 'asking', 'courier', 'come']","['friend', 'sorry', 'yes', 'pack', 'good', 'pack', 'material', 'wait', 'pack', 'come', 'first', 'courier', 'come', 'pickup', 'already', 'chat', 'yesterday', 'ask', 'courier', 'come']"
Moots ada yang toko orennya pakai ekspedisi sicepat atau anteraja tidak Antara dua ekspedisi bisa pick up tidak yaa,Moots ada yang toko orennya pakai ekspedisi atau tidak Antara dua ekspedisi bisa pick up tidak yaa,"moots, there are oren's shops using expeditions or not between two expeditions, you can pick up or not",moots orens shops using expeditions two expeditions pick,"['moots', 'orens', 'shops', 'using', 'expeditions', 'two', 'expeditions', 'pick']","['moot', 'orens', 'shop', 'use', 'expedition', 'two', 'expedition', 'pick']"
Sicepatgtgtgt,Sicepatgtgtgt,sicepatgtgtgt,sicepatgtgtgt,['sicepatgtgtgt'],['sicepatgtgtgt']
Jnt sama shopee express kalau sicepat tidak berguna sangat sangat paket dihilangkan terus tidak asa tanggung jawabnya,sama shopee express kalau tidak berguna sangat sangat paket dihilangkan terus tidak asa tanggung jawabnya,"same shopee express, if it's useless, it is very, very, the package is eliminated and the responsibility is not",shopee express useless very very package eliminated responsibility,"['shopee', 'express', 'useless', 'very', 'very', 'package', 'eliminated', 'responsibility']","['shopee', 'express', 'useless', 'very', 'very', 'package', 'eliminate', 'responsibility']"
tidak ada respon dari    alamat yang dikasih sekian tidak akan saya pakai ekspedisi ini untuk berikutnya silahkan abaikan,tidak ada respon dari alamat yang dikasih sekian tidak akan saya pakai ekspedisi ini untuk berikutnya silahkan abaikan,there is no response from the address given so i will not use this expedition for the next please ignore,response address given use expedition next please ignore,"['response', 'address', 'given', 'use', 'expedition', 'next', 'please', 'ignore']","['response', 'address', 'give', 'use', 'expedition', 'next', 'please', 'ignore']"
pengalaman saya sicepat sih,pengalaman saya sih,my experience,experience,['experience'],['experience']
Sicepat,,"the json object must be str, bytes or bytearray, not nonetype",json object must str bytes bytearray nonetype,"['json', 'object', 'must', 'str', 'bytes', 'bytearray', 'nonetype']","['json', 'object', 'must', 'str', 'byte', 'bytearray', 'nonetype']"
Kata saya mah jangan ama sicepat lagi dah sering ilang tuh paket sering di bobol jugaa,Kata saya mah jangan ama lagi dah sering ilang tuh paket sering di bobol jugaa,"i said, don't often disappear, the package is often broken",said often disappear package often broken,"['said', 'often', 'disappear', 'package', 'often', 'broken']","['say', 'often', 'disappear', 'package', 'often', 'broken']"
Spx sih sumpah sicepat tuh taik banget dah lama bangettt ngirim nyaa,sih sumpah tuh taik banget dah lama bangettt ngirim nyaa,"i swear it's really long, it's been a long time",swear really long long time,"['swear', 'really', 'long', 'long', 'time']","['swear', 'really', 'long', 'long', 'time']"
