full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,stemmed_data,text_stemmed,pos,neg,neu,label
Iya opsi di semua kota emang begitu tetapi kurirnya Tidak tahu kenapa males pick up sering sangat nemu seller yang ribet sama sicepat ini,Iya opsi di semua kota emang begitu tetapi kurirnya Tidak tahu kenapa males pick up sering sangat nemu seller yang ribet sama ini,yes the option in all cities is like that but the courier doesn't know why lazy pick ups often find this complicated seller,yes option cities like courier know lazy pick ups often find complicated seller,"['yes', 'option', 'cities', 'like', 'courier', 'know', 'lazy', 'pick', 'ups', 'often', 'find', 'complicated', 'seller']","['ye', 'option', 'citi', 'like', 'courier', 'know', 'lazi', 'pick', 'up', 'often', 'find', 'complic', 'seller']",ye option citi like courier know lazi pick up often find complic seller,0.172,0.0,0.828,positive
Nama tidak mencerminkan sifat aslinya Namanya si Cepat kenyataan nya si Lelet Dari Tgl sekarang Tgl tetapi tidak ada pergerakan Resi cek dm,Nama tidak mencerminkan sifat aslinya Namanya si Cepat kenyataan nya si Lelet Dari Tgl sekarang Tgl tetapi tidak ada pergerakan Resi cek dm,the name does not reflect its true nature the name is the fast reality from the date of the date now but there is no movement of the dm check receipt,name reflect true nature name fast reality date date movement dm check receipt,"['name', 'reflect', 'true', 'nature', 'name', 'fast', 'reality', 'date', 'date', 'movement', 'dm', 'check', 'receipt']","['name', 'reflect', 'true', 'natur', 'name', 'fast', 'realiti', 'date', 'date', 'movement', 'dm', 'check', 'receipt']",name reflect true natur name fast realiti date date movement dm check receipt,0.281,0.0,0.719,positive
Ini pakai si cepat lhoo astagaa Ah yawislah terserah dah seminggu loh ilang yasudah,Ini pakai si cepat lhoo astagaa Ah yawislah terserah dah seminggu loh ilang yasudah,"this uses the fast, oh my god, ah yawis, it's up to you a week.",uses fast oh god ah yawis week,"['uses', 'fast', 'oh', 'god', 'ah', 'yawis', 'week']","['use', 'fast', 'oh', 'god', 'ah', 'yawi', 'week']",use fast oh god ah yawi week,0.419,0.0,0.581,positive
Want To Sell Mingyu PC Help rtlikes Jateng INA SicepatAnteraja Splitpay CO video Shopee Good Condi,Want To Sell Mingyu PC Help rtlikes Jateng INA SicepatAnteraja Splitpay CO video Shopee Good Condi,want to sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,want sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,"['want', 'sell', 'mingyu', 'pc', 'help', 'rtlies', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shopee', 'good', 'condi']","['want', 'sell', 'mingyu', 'pc', 'help', 'rtli', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shope', 'good', 'condi']",want sell mingyu pc help rtli jateng ina sicepatanteraja splitpay co video shope good condi,0.365,0.0,0.635,positive
Sicepat yang tidak cepat,yang tidak cepat,which is not fast,fast,['fast'],['fast'],fast,1.0,0.0,0.0,positive
Help RtsLikes thank you Want To Sell Ready INA Jateng SicepatAnteraja Fullpayment only Negotiable exclude fee Claim by DM t pc vernon woozi dino yzy f fml deluxe vocal performance team,Help RtsLikes thank you Want To Sell Ready INA Jateng SicepatAnteraja Fullpayment only Negotiable exclude fee Claim by DM t pc vernon woozi dino yzy f fml deluxe vocal performance team,help rtsles thank you want to sell ready ina central java sicepatanteraja fullpayment only negotiable exclude fee claims by dm t pc vernon woozi dino yzy fml fml deluxe vocal performance team,help rtsles thank want sell ready ina central java sicepatanteraja fullpayment negotiable exclude fee claims dm pc vernon woozi dino yzy fml fml deluxe vocal performance team,"['help', 'rtsles', 'thank', 'want', 'sell', 'ready', 'ina', 'central', 'java', 'sicepatanteraja', 'fullpayment', 'negotiable', 'exclude', 'fee', 'claims', 'dm', 'pc', 'vernon', 'woozi', 'dino', 'yzy', 'fml', 'fml', 'deluxe', 'vocal', 'performance', 'team']","['help', 'rtsle', 'thank', 'want', 'sell', 'readi', 'ina', 'central', 'java', 'sicepatanteraja', 'fullpay', 'negoti', 'exclud', 'fee', 'claim', 'dm', 'pc', 'vernon', 'woozi', 'dino', 'yzi', 'fml', 'fml', 'delux', 'vocal', 'perform', 'team']",help rtsle thank want sell readi ina central java sicepatanteraja fullpay negoti exclud fee claim dm pc vernon woozi dino yzi fml fml delux vocal perform team,0.213,0.0,0.787,positive
Bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,Bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,how is the way the franchise is fast because i send an email there is no response at all and i contact via instagram does not provide franchise information and is transferred to the email while the email has no response,way franchise fast send email response contact via instagram provide franchise information transferred email email response,"['way', 'franchise', 'fast', 'send', 'email', 'response', 'contact', 'via', 'instagram', 'provide', 'franchise', 'information', 'transferred', 'email', 'email', 'response']","['way', 'franchis', 'fast', 'send', 'email', 'respons', 'contact', 'via', 'instagram', 'provid', 'franchis', 'inform', 'transfer', 'email', 'email', 'respons']",way franchis fast send email respons contact via instagram provid franchis inform transfer email email respons,0.091,0.0,0.909,positive
Klo untuk jasa krimnya itu kt gbisa tahu smpe kt cekout Krn yang tahu cm seller Seller yang bisa aktifin di reguler mau pk ekspedisi apa saja di hemat mau pakai ekspedisi apa saja Baik di regulerhemat sama ada ada jnt spx sicepat dll tetapi seller bisa pilih mau aktifin apa saja,Klo untuk jasa krimnya itu kt gbisa tahu smpe kt cekout Krn yang tahu cm seller Seller yang bisa aktifin di reguler mau pk ekspedisi apa saja di hemat mau pakai ekspedisi apa saja Baik di regulerhemat sama ada ada dll tetapi seller bisa pilih mau aktifin apa saja,"if for the cream service, we don't know, you know, check out because you know the cm seller seller who can activate in regular, what expeditions will be saved, you want to use any expedition, both in the same regularhm",cream service know know check know cm seller seller activate regular expeditions saved want use expedition regularhm,"['cream', 'service', 'know', 'know', 'check', 'know', 'cm', 'seller', 'seller', 'activate', 'regular', 'expeditions', 'saved', 'want', 'use', 'expedition', 'regularhm']","['cream', 'servic', 'know', 'know', 'check', 'know', 'cm', 'seller', 'seller', 'activ', 'regular', 'expedit', 'save', 'want', 'use', 'expedit', 'regularhm']",cream servic know know check know cm seller seller activ regular expedit save want use expedit regularhm,0.231,0.0,0.769,positive
Oke admin lain kali jangan ilangin barang temen saya ya admin kasian dia sampe galau berhari,Oke admin lain kali jangan ilangin barang temen saya ya admin kasian dia sampe galau berhari,"okay admin next time do not get rid of my friend's belongings, the admin is sorry for him to be upset for days",okay admin next time get rid friends belongings admin sorry upset days,"['okay', 'admin', 'next', 'time', 'get', 'rid', 'friends', 'belongings', 'admin', 'sorry', 'upset', 'days']","['okay', 'admin', 'next', 'time', 'get', 'rid', 'friend', 'belong', 'admin', 'sorri', 'upset', 'day']",okay admin next time get rid friend belong admin sorri upset day,0.305,0.156,0.539,positive
sicepat kongtol paket saya lama benar dah,kongtol paket saya lama benar dah,my package congtol is true for a long time,package congtol true long time,"['package', 'congtol', 'true', 'long', 'time']","['packag', 'congtol', 'true', 'long', 'time']",packag congtol true long time,0.412,0.0,0.588,positive
oh baik kaaak terima kasih ya kak atas responnya,oh baik kaaak terima kasih ya kak atas responnya,"oh well sis, thank you sis for the response",oh well sis thank sis response,"['oh', 'well', 'sis', 'thank', 'sis', 'response']","['oh', 'well', 'si', 'thank', 'si', 'respons']",oh well si thank si respons,0.535,0.0,0.465,positive
Sicepat spx paket pernah ilang wkwk,paket pernah ilang wkwk,package never disappeared,package never disappeared,"['package', 'never', 'disappeared']","['packag', 'never', 'disappear']",packag never disappear,0.454,0.0,0.546,positive
UPDATE Bukti Nomor Resi Pengiriman Via SICEPAT BEST NEXT DAY Jasa pengiriman via JNE JampT SICEPAT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi dan Paket Yang Sudah Sampai Daftar Menu,UPDATE Bukti Nomor Resi Pengiriman Via BEST NEXT DAY Jasa pengiriman via JampT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi dan Paket Yang Sudah Sampai Daftar Menu,update proof of shipping receipt number via best next day shipping service via jampt payment via transfer we do not serve cod check proof of receipt number and package that has reached the menu list,update proof shipping receipt number via best next day shipping service via jampt payment via transfer serve cod check proof receipt number package reached menu list,"['update', 'proof', 'shipping', 'receipt', 'number', 'via', 'best', 'next', 'day', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'proof', 'receipt', 'number', 'package', 'reached', 'menu', 'list']","['updat', 'proof', 'ship', 'receipt', 'number', 'via', 'best', 'next', 'day', 'ship', 'servic', 'via', 'jampt', 'payment', 'via', 'transfer', 'serv', 'cod', 'check', 'proof', 'receipt', 'number', 'packag', 'reach', 'menu', 'list']",updat proof ship receipt number via best next day ship servic via jampt payment via transfer serv cod check proof receipt number packag reach menu list,0.264,0.0,0.736,positive
bantuin dong pembelijangan karena silambat tidak mau pickup pembeli jadi rugi waktu,bantuin dong pembelijangan karena silambat tidak mau pickup pembeli jadi rugi waktu,help the limb because the silambat does not want to pick up the buyer so it is a loss of time,help limb silambat want pick buyer loss time,"['help', 'limb', 'silambat', 'want', 'pick', 'buyer', 'loss', 'time']","['help', 'limb', 'silambat', 'want', 'pick', 'buyer', 'loss', 'time']",help limb silambat want pick buyer loss time,0.354,0.204,0.442,positive
keknya tergantung jarak dom dari seller ke buyer juga nderr saya pakai sicepat lumayan cepet harian nyampe,keknya tergantung jarak dom dari seller ke buyer juga nderr saya pakai lumayan cepet harian nyampe,"the kek depends on the distance from the seller to the buyer and i use it, i use it quite fast",kek depends distance seller buyer use it use quite fast,"['kek', 'depends', 'distance', 'seller', 'buyer', 'use', 'it', 'use', 'quite', 'fast']","['kek', 'depend', 'distanc', 'seller', 'buyer', 'use', 'it', 'use', 'quit', 'fast']",kek depend distanc seller buyer use it use quit fast,0.143,0.0,0.857,positive
admin ini estimasi kemarin harusnya sudah sampe Aku bayar ongkirnya lumayan loh gpp mahal deh asal cepet Tp mana Padahal mau dipake ini sepatunya Plis minnnn,admin ini estimasi kemarin harusnya sudah sampe Aku bayar ongkirnya lumayan loh gpp mahal deh asal cepet Tp mana Padahal mau dipake ini sepatunya Plis minnnn,this admin is estimated yesterday it should have been paid for the postage that is pretty good,admin estimated yesterday paid postage pretty good,"['admin', 'estimated', 'yesterday', 'paid', 'postage', 'pretty', 'good']","['admin', 'estim', 'yesterday', 'paid', 'postag', 'pretti', 'good']",admin estim yesterday paid postag pretti good,0.326,0.0,0.674,positive
MINNN INI GIMANAA hari ini terakhir pengirimanny tpi dari tanggal juni begitu terus status nya padahal alamat dan nomor hp nya jelas bangett saya sudah nunggu banget loh padahal tolonginn minn saya tidak punya tidak kurirnyaa,MINNN INI GIMANAA hari ini terakhir pengirimanny tpi dari tanggal juni begitu terus status nya padahal alamat dan nomor hp nya jelas bangett saya sudah nunggu banget loh padahal tolonginn minn saya tidak punya tidak kurirnyaa,this minn is the last time for the last delivery but from june the status is so the status even though the address and cellphone number are very clear i have been waiting for it even though please help minn i don't have the courier not the courier,minn last time last delivery june status status even though address cellphone number clear waiting even though please help minn courier courier,"['minn', 'last', 'time', 'last', 'delivery', 'june', 'status', 'status', 'even', 'though', 'address', 'cellphone', 'number', 'clear', 'waiting', 'even', 'though', 'please', 'help', 'minn', 'courier', 'courier']","['minn', 'last', 'time', 'last', 'deliveri', 'june', 'statu', 'statu', 'even', 'though', 'address', 'cellphon', 'number', 'clear', 'wait', 'even', 'though', 'pleas', 'help', 'minn', 'courier', 'courier']",minn last time last deliveri june statu statu even though address cellphon number clear wait even though pleas help minn courier courier,0.258,0.0,0.742,positive
kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,"the courier is the habit of not pressing the bell just leave the alert item, next time my item is taken by my person.",courier habit pressing bell leave alert item next time item taken person,"['courier', 'habit', 'pressing', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'taken', 'person']","['courier', 'habit', 'press', 'bell', 'leav', 'alert', 'item', 'next', 'time', 'item', 'taken', 'person']",courier habit press bell leav alert item next time item taken person,0.167,0.0,0.833,positive
okee terima kasih admin,okee terima kasih admin,"ok, thank you admin",ok thank admin,"['ok', 'thank', 'admin']","['ok', 'thank', 'admin']",ok thank admin,0.825,0.0,0.175,positive
selamat sore ini paket di balikpapan selatan kenapa stuck terus ya statusnya dari kemarin Biasanya setiap pagi sudah diantar oleh kurir loh Apakah ada penurunan performa ya sekarang,selamat sore ini paket di balikpapan selatan kenapa stuck terus ya statusnya dari kemarin Biasanya setiap pagi sudah diantar oleh kurir loh Apakah ada penurunan performa ya sekarang,"good afternoon this afternoon package in southern balikpapan why is it stuck, the status from yesterday is usually delivered every morning to be delivered by the courier if there is a decrease in performance now",good afternoon afternoon package southern balikpapan stuck status yesterday usually delivered every morning delivered courier decrease performance,"['good', 'afternoon', 'afternoon', 'package', 'southern', 'balikpapan', 'stuck', 'status', 'yesterday', 'usually', 'delivered', 'every', 'morning', 'delivered', 'courier', 'decrease', 'performance']","['good', 'afternoon', 'afternoon', 'packag', 'southern', 'balikpapan', 'stuck', 'statu', 'yesterday', 'usual', 'deliv', 'everi', 'morn', 'deliv', 'courier', 'decreas', 'perform']",good afternoon afternoon packag southern balikpapan stuck statu yesterday usual deliv everi morn deliv courier decreas perform,0.146,0.101,0.754,positive
guys pengiriman yang cepet tu jntsicepat ya,guys pengiriman yang cepet tu jntsicepat ya,"guys, fast shipping, right?",guys fast shipping right,"['guys', 'fast', 'shipping', 'right']","['guy', 'fast', 'ship', 'right']",guy fast ship right,0.333,0.0,0.667,positive
WEH JANGAN PAKE SICEPAT ekspedisi gajelas pas tu paket saya sudah deket bukan di anter malah di cancel terus di balikin ke seller tanpa alasan jelas,WEH JANGAN PAKE ekspedisi gajelas pas tu paket saya sudah deket bukan di anter malah di cancel terus di balikin ke seller tanpa alasan jelas,"weh don't use the clear expedition when my package is close, instead of anter, it can be canceled to the seller for no apparent reason",weh use clear expedition package close instead anter canceled seller apparent reason,"['weh', 'use', 'clear', 'expedition', 'package', 'close', 'instead', 'anter', 'canceled', 'seller', 'apparent', 'reason']","['weh', 'use', 'clear', 'expedit', 'packag', 'close', 'instead', 'anter', 'cancel', 'seller', 'appar', 'reason']",weh use clear expedit packag close instead anter cancel seller appar reason,0.178,0.137,0.685,positive
Bot gini maksudnya,Bot gini maksudnya,bot like this,bot like,"['bot', 'like']","['bot', 'like']",bot like,0.714,0.0,0.286,positive
maaf masih bergelut dgn pick up sicepat bsk ku drop off saja,maaf masih bergelut dgn pick up bsk ku drop off saja,sorry still struggling with pickup like kut drop off,sorry still struggling pickup like kut drop,"['sorry', 'still', 'struggling', 'pickup', 'like', 'kut', 'drop']","['sorri', 'still', 'struggl', 'pickup', 'like', 'kut', 'drop']",sorri still struggl pickup like kut drop,0.26,0.219,0.521,positive
Lebih Cepat Mana SiCepat Halu atau Shopee Express Hemat,Lebih Cepat Mana Halu atau Shopee Express Hemat,faster which halu or saving shopee express,faster halu saving shopee express,"['faster', 'halu', 'saving', 'shopee', 'express']","['faster', 'halu', 'save', 'shope', 'express']",faster halu save shope express,0.444,0.0,0.556,positive
sicepat anteraja kalau di beberapa kota emang agak bagaimana tetapi sicepat ini terjun bebas banget pelayanannya akibat mismanajemen di pusat padahal saya ngandalin banget mereka karena paling cepet,kalau di beberapa kota emang agak bagaimana tetapi ini terjun bebas banget pelayanannya akibat mismanajemen di pusat padahal saya ngandalin banget mereka karena paling cepet,"if in some cities, what is it rather but this is a very free plot of service due to mismanaging at the center even though i am very retiring because i am the most fast",cities rather free plot service due mismanaging center even though retiring fast,"['cities', 'rather', 'free', 'plot', 'service', 'due', 'mismanaging', 'center', 'even', 'though', 'retiring', 'fast']","['citi', 'rather', 'free', 'plot', 'servic', 'due', 'mismanag', 'center', 'even', 'though', 'retir', 'fast']",citi rather free plot servic due mismanag center even though retir fast,0.324,0.0,0.676,positive
Boleh kak kalau mau via non shopii nanti bayar ongkir bisa wahanasicepat,Boleh kak kalau mau via non shopii nanti bayar ongkir bisa wahanasicepat,"may sis if you want to go to the shopee later pay postage, you can go fast",may sis want go shopee later pay postage go fast,"['may', 'sis', 'want', 'go', 'shopee', 'later', 'pay', 'postage', 'go', 'fast']","['may', 'si', 'want', 'go', 'shope', 'later', 'pay', 'postag', 'go', 'fast']",may si want go shope later pay postag go fast,0.25,0.125,0.625,positive
sekarang sicepat sudah jelekkk caa terus jnt mulai nurun jugaa saya saja kl order dishp selalu pakai spx dan sesuai perhitungan sampenya gapernah lewat batas bahkan mgg lalu paketku nyampe hari lebih cepett,sekarang sudah jelekkk caa terus mulai nurun jugaa saya saja kl order dishp selalu pakai dan sesuai perhitungan sampenya gapernah lewat batas bahkan mgg lalu paketku nyampe hari lebih cepett,"now it's ugly, cas continues to start down, i just order the dishp order, always using it and according to the calculation, it's not even through the limit and even my package arrives a more fast day",ugly cas continues start down order dishp order always using according calculation even limit even package arrives fast day,"['ugly', 'cas', 'continues', 'start', 'down', 'order', 'dishp', 'order', 'always', 'using', 'according', 'calculation', 'even', 'limit', 'even', 'package', 'arrives', 'fast', 'day']","['ugli', 'ca', 'continu', 'start', 'down', 'order', 'dishp', 'order', 'alway', 'use', 'accord', 'calcul', 'even', 'limit', 'even', 'packag', 'arriv', 'fast', 'day']",ugli ca continu start down order dishp order alway use accord calcul even limit even packag arriv fast day,0.077,0.0,0.923,positive
Case closed kurirnya sudah tanya pak rt pak rt gatau punya warga nama saya kurir tidak berusaha muter mencari namaku saya yang nyari ke kurir jnt minta tolong cariin nomer kurir sicepat dikontek duluan barulah tadi siang sampe paketnya,Case closed kurirnya sudah tanya pak rt pak rt gatau punya warga nama saya kurir tidak berusaha muter mencari namaku saya yang nyari ke kurir minta tolong cariin nomer kurir dikontek duluan barulah tadi siang sampe paketnya,"case closed courier has asked mr. rt, mr. rt, i don't have the residents of my name, the courier is not trying to go around looking for my name to my courier asking for help looking for courier numbers in the context first this afternoon until the package",case closed courier asked mr rt mr rt residents name courier trying go around looking name courier asking help looking courier numbers context first afternoon package,"['case', 'closed', 'courier', 'asked', 'mr', 'rt', 'mr', 'rt', 'residents', 'name', 'courier', 'trying', 'go', 'around', 'looking', 'name', 'courier', 'asking', 'help', 'looking', 'courier', 'numbers', 'context', 'first', 'afternoon', 'package']","['case', 'close', 'courier', 'ask', 'mr', 'rt', 'mr', 'rt', 'resid', 'name', 'courier', 'tri', 'go', 'around', 'look', 'name', 'courier', 'ask', 'help', 'look', 'courier', 'number', 'context', 'first', 'afternoon', 'packag']",case close courier ask mr rt mr rt resid name courier tri go around look name courier ask help look courier number context first afternoon packag,0.143,0.0,0.857,positive
ada yang pernah ilang tidak sih paketnya di sicepat TT need help banget mana paketnya split payment lagi,ada yang pernah ilang tidak sih paketnya di TT need help banget mana paketnya split payment lagi,"some have ever lost the package on tt need help, which package is split payment again",ever lost package tt need help package split payment,"['ever', 'lost', 'package', 'tt', 'need', 'help', 'package', 'split', 'payment']","['ever', 'lost', 'packag', 'tt', 'need', 'help', 'packag', 'split', 'payment']",ever lost packag tt need help packag split payment,0.225,0.192,0.583,positive
Padahal sebelum saya klik Request Pickup barang sudah saya packing siap tetapi kenapa di ada tulisan pastikan barang siap seakan saya lalai dong,Padahal sebelum saya klik Request Pickup barang sudah saya packing siap tetapi kenapa di ada tulisan pastikan barang siap seakan saya lalai dong,even though before i click the request pickup the item i have packing ready but why in writing make sure the item is ready as if i was negligent,even though click request pickup item packing ready writing make sure item ready negligent,"['even', 'though', 'click', 'request', 'pickup', 'item', 'packing', 'ready', 'writing', 'make', 'sure', 'item', 'ready', 'negligent']","['even', 'though', 'click', 'request', 'pickup', 'item', 'pack', 'readi', 'write', 'make', 'sure', 'item', 'readi', 'neglig']",even though click request pickup item pack readi write make sure item readi neglig,0.15,0.0,0.85,positive
Kok jadi hunian Hrsnya PT Pos bisa jadi spt sicepat halu JNE sangat Jaringan dmana,Kok jadi hunian Hrsnya PT bisa jadi spt halu sangat Jaringan dmana,how come the hrs dwelling pt can be like a network,come hrs dwelling pt like network,"['come', 'hrs', 'dwelling', 'pt', 'like', 'network']","['come', 'hr', 'dwell', 'pt', 'like', 'network']",come hr dwell pt like network,0.5,0.0,0.5,positive
anak goku sering banget gini saya nyalain jnt nah buat yang gabisa alternatifnya pakai sicepat,anak goku sering banget gini saya nyalain nah buat yang gabisa alternatifnya pakai,"goku children often like this i turn on, for those who can't use the alternative",goku children often like turn on cant use alternative,"['goku', 'children', 'often', 'like', 'turn', 'on', 'cant', 'use', 'alternative']","['goku', 'children', 'often', 'like', 'turn', 'on', 'cant', 'use', 'altern']",goku children often like turn on cant use altern,0.238,0.0,0.762,positive
Sicepat tetapi tidak cepat hampir minggu paket tidak tahu dimana,tetapi tidak cepat hampir minggu paket tidak tahu dimana,but not fast almost sunday the package doesn't know where,fast almost sunday package know,"['fast', 'almost', 'sunday', 'package', 'know']","['fast', 'almost', 'sunday', 'packag', 'know']",fast almost sunday packag know,0.273,0.0,0.727,positive
sicepat halu cepetnya halu sangat anjr paket masih kota hari tidak sampe,halu cepetnya halu sangat anjr paket masih kota hari tidak sampe,"halu, it's so fast that the package is still the city, not arriving",halu fast package still city arriving,"['halu', 'fast', 'package', 'still', 'city', 'arriving']","['halu', 'fast', 'packag', 'still', 'citi', 'arriv']",halu fast packag still citi arriv,0.231,0.0,0.769,positive
Sicepat lagi kenapa deh sudah ngechat sellernya dan paket sudah diserahin ke kurir tetapi ini sampai tanggal segini masih stuck kek gini saja Ini sudah pakai yang next day pula HADAAAHHH,lagi kenapa deh sudah ngechat sellernya dan paket sudah diserahin ke kurir tetapi ini sampai tanggal segini masih stuck kek gini saja Ini sudah pakai yang next day pula HADAAAHHH,"again why do you have the seller and the package has been handed over to the courier but until this date it is still stuck like this, this is already used next day too hadaahh",seller package handed courier date still stuck like this already used next day hadaahh,"['seller', 'package', 'handed', 'courier', 'date', 'still', 'stuck', 'like', 'this', 'already', 'used', 'next', 'day', 'hadaahh']","['seller', 'packag', 'hand', 'courier', 'date', 'still', 'stuck', 'like', 'thi', 'alreadi', 'use', 'next', 'day', 'hadaahh']",seller packag hand courier date still stuck like thi alreadi use next day hadaahh,0.305,0.107,0.588,positive
Kak terima kasih ya sudah ke co pakai sicepat halu bisa kan,Kak terima kasih ya sudah ke co pakai halu bisa kan,"sis, thank you for co, you can use it, right?",sis thank co use it right,"['sis', 'thank', 'co', 'use', 'it', 'right']","['si', 'thank', 'co', 'use', 'it', 'right']",si thank co use it right,0.333,0.0,0.667,positive
Menghapus sicepat dari opsi pengiriman toko shopee ketar ketir ni barang tidak ada update hari Padahal di sini pilihan expedisinya juga terbatas,Menghapus dari opsi pengiriman toko shopee ketar ketir ni barang tidak ada update hari Padahal di sini pilihan expedisinya juga terbatas,"delete from the shopee shopping shop option when the goods are not updated the day, even though the expedition options are also limited here",delete shopee shopping shop option goods updated day even though expedition options also limited,"['delete', 'shopee', 'shopping', 'shop', 'option', 'goods', 'updated', 'day', 'even', 'though', 'expedition', 'options', 'also', 'limited']","['delet', 'shope', 'shop', 'shop', 'option', 'good', 'updat', 'day', 'even', 'though', 'expedit', 'option', 'also', 'limit']",delet shope shop shop option good updat day even though expedit option also limit,0.182,0.0,0.818,positive
Emang kadang kaya begitu nder buyer ku juga sering jajan lewat Sicepat which is di daerah ku ada counter nya dan saya sering drop paket jadi masih bisa di jangkau tetapi giliran saya yang jadi buyer dan pakai Sicepat tidak bisa Jalan satu satu nya ya ganti ekspedisi,Emang kadang kaya begitu nder buyer ku juga sering jajan lewat which is di daerah ku ada counter nya dan saya sering drop paket jadi masih bisa di jangkau tetapi giliran saya yang jadi buyer dan pakai tidak bisa Jalan satu satu nya ya ganti ekspedisi,"it is sometimes like that, so my buyer also often snacks through which in my area there is a counter and i often drop the package so it can still be reached but it is my turn to be a buyer and use it can't walk one one, but change the expedition",sometimes like that buyer also often snacks area counter often drop package still reached turn buyer use cant walk one one change expedition,"['sometimes', 'like', 'that', 'buyer', 'also', 'often', 'snacks', 'area', 'counter', 'often', 'drop', 'package', 'still', 'reached', 'turn', 'buyer', 'use', 'cant', 'walk', 'one', 'one', 'change', 'expedition']","['sometim', 'like', 'that', 'buyer', 'also', 'often', 'snack', 'area', 'counter', 'often', 'drop', 'packag', 'still', 'reach', 'turn', 'buyer', 'use', 'cant', 'walk', 'one', 'one', 'chang', 'expedit']",sometim like that buyer also often snack area counter often drop packag still reach turn buyer use cant walk one one chang expedit,0.14,0.082,0.778,positive
saya biasa pakai sicepat cuma menulis nama penerima sama resi nya doang aman ko nder,saya biasa pakai cuma menulis nama penerima sama resi nya doang aman ko nder,i used to use just writing the name of the recipient and the receipt only safe,used use writing name recipient receipt safe,"['used', 'use', 'writing', 'name', 'recipient', 'receipt', 'safe']","['use', 'use', 'write', 'name', 'recipi', 'receipt', 'safe']",use use write name recipi receipt safe,0.326,0.0,0.674,positive
Min saya hari ini sudah tutup opsi pengiriman barang via Sicepat mengikuti jejak rekan saya Muak banget sama jawaban bot dari admin kalian Bisa loh kurir tidak pickup barang berhari alasannya nyudutin seller terus Evaluasi sistem dan kurir deh kalau mau terus exist,Min saya hari ini sudah tutup opsi pengiriman barang via mengikuti jejak rekan saya Muak banget sama jawaban bot dari admin kalian Bisa loh kurir tidak pickup barang berhari alasannya nyudutin seller terus Evaluasi sistem dan kurir deh kalau mau terus exist,"min, today i have closed the delivery option via follow in the footsteps of my colleague, very fed up with the bot answers from the admin, you can do the courier, the courier is not pickup the goods for days, the reason for the seller, and the courier is to evaluate it if you want to continue to exist",min today closed delivery option via follow footsteps colleague fed bot answers admin courier courier pickup goods days reason seller courier evaluate want continue exist,"['min', 'today', 'closed', 'delivery', 'option', 'via', 'follow', 'footsteps', 'colleague', 'fed', 'bot', 'answers', 'admin', 'courier', 'courier', 'pickup', 'goods', 'days', 'reason', 'seller', 'courier', 'evaluate', 'want', 'continue', 'exist']","['min', 'today', 'close', 'deliveri', 'option', 'via', 'follow', 'footstep', 'colleagu', 'fed', 'bot', 'answer', 'admin', 'courier', 'courier', 'pickup', 'good', 'day', 'reason', 'seller', 'courier', 'evalu', 'want', 'continu', 'exist']",min today close deliveri option via follow footstep colleagu fed bot answer admin courier courier pickup good day reason seller courier evalu want continu exist,0.154,0.0,0.846,positive
benar bgtttt tutup saja kamu sicepat paket gw hari lebih tidak jelas dimana,benar bgtttt tutup saja kamu paket gw hari lebih tidak jelas dimana,it's true that you just close you package my day is more unclear where,true close package day unclear,"['true', 'close', 'package', 'day', 'unclear']","['true', 'close', 'packag', 'day', 'unclear']",true close packag day unclear,0.359,0.256,0.385,positive
